ts,request_id,student_id,course_id,term,approved,status,credits,ts_solicitacao,latencia_seg
2026-09-19T15:58:20.191269+00:00,R2000,A103,MAT150,2026.1,True,Matriculado,6,2026-09-19T15:58:18.761472+00:00,0.7
2026-09-19T15:58:24.197620+00:00,R2001,A103,ENG200,2026.1,True,Matriculado,2,2026-09-19T15:58:22.766356+00:00,0.7
2026-09-19T15:58:28.203581+00:00,R2002,A102,MAT150,2026.1,True,Matriculado,2,2026-09-19T15:58:26.772774+00:00,0.7
2026-09-19T15:58:32.210419+00:00,R2003,A100,ENG200,2026.1,True,Matriculado,6,2026-09-19T15:58:30.775430+00:00,0.7
2026-09-19T15:58:36.216620+00:00,R2004,A102,ENG200,2026.1,True,Matriculado,6,2026-09-19T15:58:34.778822+00:00,0.8
2026-09-19T15:58:40.221582+00:00,R2005,A104,BD101,2026.1,True,Matriculado,6,2026-09-19T15:58:38.788626+00:00,0.8
2026-09-19T15:58:44.227980+00:00,R2006,A101,BD101,2026.1,True,Matriculado,4,2026-09-19T15:58:42.790941+00:00,0.8
2026-09-19T15:58:48.233740+00:00,R2007,A104,BD101,2026.1,True,Matriculado,6,2026-09-19T15:58:46.794172+00:00,0.8
2026-09-19T15:58:52.240065+00:00,R2008,A103,MAT150,2026.1,False,SemVagas,2,2026-09-19T15:58:50.797430+00:00,0.8
2026-09-19T15:58:56.251928+00:00,R2009,A102,ENG200,2026.1,False,SemVagas,6,2026-09-19T15:58:54.801652+00:00,0.8
2026-09-19T15:59:00.264078+00:00,R2010,A102,BD101,2026.1,True,Matriculado,4,2026-09-19T15:58:58.805042+00:00,0.8
2026-09-19T15:59:04.270691+00:00,R2011,A100,ENG200,2026.1,False,SemVagas,4,2026-09-19T15:59:02.812529+00:00,0.8
2026-09-19T15:59:08.278719+00:00,R2012,A102,ENG200,2026.1,False,SemVagas,4,2026-09-19T15:59:06.815825+00:00,0.8
2026-09-19T15:59:12.286932+00:00,R2013,A103,BD101,2026.1,True,Matriculado,2,2026-09-19T15:59:10.819332+00:00,0.8
2026-09-19T15:59:20.299245+00:00,R2015,A101,MAT150,2026.1,False,SemVagas,4,2026-09-19T15:59:18.836645+00:00,0.8
2026-09-19T15:59:24.304997+00:00,R2016,A100,BD101,2026.1,False,SemVagas,2,2026-09-19T15:59:22.842112+00:00,0.8
2026-09-19T15:59:28.310776+00:00,R2017,A101,MAT150,2026.1,False,SemVagas,6,2026-09-19T15:59:26.845493+00:00,0.9
2026-09-19T15:59:36.319256+00:00,R2019,A102,ENG200,2026.1,False,SemVagas,2,2026-09-19T15:59:34.850579+00:00,0.9
2026-09-19T16:35:51.801572+00:00,R2014,A104,ENG200,2026.1,True,Matriculado,3,2026-09-19T15:59:14.826128+00:00,2196.5
